startDate,endDate,duration,distance,unit,calories
2021-06-09 18:59:31 -0800,2021-06-09 19:50:43 -0800,51.19183566768964,2325,yd,360.088
2021-06-10 19:07:01 -0800,2021-06-10 19:50:04 -0800,43.03770149946213,2025,yd,335.935
2021-06-11 19:04:10 -0800,2021-06-11 19:50:20 -0800,46.17574266791344,2200,yd,346.419
2021-06-27 07:27:55 -0800,2021-06-27 08:22:24 -0800,54.49155851602554,809.459,yd,368.421
2021-06-28 07:11:52 -0800,2021-06-28 08:05:12 -0800,53.34140436649322,2145,yd,361.362
2021-07-07 18:43:09 -0800,2021-07-07 19:21:36 -0800,38.45271570086479,1800,yd,289.052
2021-07-11 08:02:08 -0800,2021-07-11 08:50:37 -0800,48.49132016499837,2100,yd,329.204
2021-07-12 11:22:44 -0800,2021-07-12 11:50:29 -0800,27.74510604937871,1250,yd,197.605
2021-07-13 11:10:24 -0800,2021-07-13 11:50:31 -0800,40.12228559851646,1700,yd,273.22
2021-07-15 08:12:57 -0800,2021-07-15 08:51:02 -0800,38.08677754998207,1550,yd,255.329
2021-07-18 08:01:32 -0800,2021-07-18 08:50:21 -0800,48.80612679918607,2275,yd,352.47
2021-07-20 18:29:45 -0800,2021-07-20 19:20:45 -0800,50.99676079948743,2425,yd,382.123
2021-07-23 17:45:07 -0800,2021-07-23 18:36:45 -0800,51.62712414860725,1625,yd,269.856
2021-07-24 09:07:00 -0800,2021-07-24 10:02:46 -0800,55.77465506593386,1875,yd,311.273
2021-07-27 17:29:45 -0800,2021-07-27 18:32:21 -0800,62.59846494992574,2550,yd,406.193
2021-07-29 17:37:13 -0800,2021-07-29 18:31:20 -0800,54.12722273270289,2150,yd,339.766
2021-07-31 09:05:26 -0800,2021-07-31 10:01:01 -0800,55.58514020045598,1375,yd,266.676
2021-08-02 17:45:45 -0800,2021-08-02 18:32:24 -0800,46.65213579932848,1625,yd,261.183
2021-08-04 17:36:31 -0800,2021-08-04 18:30:21 -0800,53.82610808213552,1900,yd,314.048
2021-08-06 17:41:42 -0800,2021-08-06 18:31:27 -0800,49.75991893410683,1550,yd,280.869
2021-08-09 17:38:17 -0800,2021-08-09 18:31:30 -0800,53.22071476777395,1925,yd,318.644
2021-08-11 17:37:10 -0800,2021-08-11 18:31:18 -0800,54.12417401671409,1700,yd,289.793
2021-08-13 17:36:35 -0800,2021-08-13 18:23:36 -0800,47.0152701318264,1675,yd,288.182
2021-08-18 18:37:42 -0800,2021-08-18 19:29:48 -0800,52.091590599219,2225,yd,355.88
2021-08-21 06:36:42 -0800,2021-08-21 07:31:40 -0800,54.95795960028966,1775,yd,319.52
